f_date,f_time,addr,zip,boro,lat,long
2021-10-12,3:50:00,43-42 37th St,11101,Queens,40.744714,-73.928001
2021-10-12,22:09:00,215 EAST  164 STREET,10456,Bronx,40.829339,-73.918796
2021-10-15,7:00:00,967 Kelly St,10459,Bronx,40.821809,-73.896106
2021-10-19,22:21:00,428 5 AVENUE,11215,Brooklyn,40.669712,-73.986043
2021-10-21,8:47:00,156 st and 33 ave,11354,Queens,40.768403,-73.808546
2021-10-28,18:58:00,128 MILLER AVENUE,11207,Brooklyn,40.67826,-73.892832
2021-10-31,20:02:00,1168 STRATFORD AVENUE,10472,Bronx,40.828777,-73.875272
2021-11-06,12:32:00,63rd avenue and 108 st,11375,Queens,40.734984,-73.850656
2021-11-07,7:30:00,340 WILLIS AVENUE,10454,Bronx,40.811227,-73.921115
2021-11-11,9:30:00,869 45 STREET,11220,Brooklyn,40.642921,-73.998944
2021-11-12,6:00:00,63 Ave and 108 St,11375,Queens,40.734984,-73.850656
2021-11-19,23:21:00,2448 MATTHEWS AVENUE,10467,Bronx,40.86268,-73.862491
2021-11-20,8:29:00,57 EAST  128 STREET,10035,Manhattan,40.807422,-73.938256
2021-11-23,4:17:00,49-22 30 AVENUE,11377,Queens,40.760096,-73.907198
2021-11-23,14:58:00,3003 WEST21 STREET,11224,Brooklyn,40.574402,-73.987473
2021-11-24,11:47:00,1322 BEDFORD AVENUE,11216,Brooklyn,40.678218,-73.953025
2021-11-25,10:49:00,1196 GRAVESEND NECK ROAD,11229,Brooklyn,40.594121,-73.958382
2021-11-29,20:42:00,303 WEST46 STREET,10036,Manhattan,40.760057,-73.988179
2021-12-09,22:24:00,41-12 JUNCTION BOULEVARD,11368,Queens,40.747139,-73.868607
2021-12-11,5:13:00,41-18 JUNCTION BOULEVARD,11368,Queens,40.746975,-73.868572
2021-12-12,15:17:00,36-03 30 AVENUE,11103,Queens,40.7651045,-73.9215848
2021-12-13,12:48:00,110 5 AVENUE,10011,Manhattan,40.737582,-73.992701
2021-12-16,7:08:00,118 AVENUE D,10009,Manhattan,40.723821,-73.975409
2021-12-18,16:22:00,1597 Gates Ave,11237,Brooklyn,40.700743,-73.911155
2021-12-19,21:35:00,1211 AVENUE OF AMERICAS,10036,Manhattan,40.75953,-73.989847
2021-12-22,9:49:00,200 Rosedale Ave,10312,Staten Island,40.547996,-74.195561
2021-12-24,20:19:00,443 WEST25 STREET,10001,Manhattan,40.748834,-74.002137
2021-12-26,16:19:00,997 Dekalb Ave,11221,Brooklyn,40.693423,-73.935375
2021-12-27,16:12:00,159-38 HARLEM RIVER DRIVE WEST SR,10039,Manhattan,40.833167,-73.937474
2021-12-27,18:58:00,2720 GRAND CONCOURSE,10458,Bronx,40.86723,-73.893534
2021-12-29,4:38:00,4240 BOSTON ROAD,10475,Bronx,40.888064,-73.822876
2021-12-29,22:03:00,69-18 38 AVENUE,11377,Queens,40.746895,-73.895749
2021-12-31,19:09:00,6803 4th Ave,11220,Brooklyn,40.63508,-74.023125
2022-01-02,8:41:00,376 Amsterdam Ave,10024,Manhattan,40.782351,-73.979136
2022-01-04,19:20:00,93 Featherbed Ln,10452,Bronx,40.846408,-73.91792
2022-01-05,22:14:00,1758 Brooklyn Ave,11210,Brooklyn,40.630254,-73.941745
2022-01-08,2:07:00,2230 GRAND CONCOURSE,10457,Bronx,40.855897,-73.900779
2022-01-08,17:31:00,24-09 28 STREET,11102,Queens,40.7731262,-73.9193785
2022-01-10,1:03:00,130-12 232 STREET,11413,Queens,40.680337,-73.73524
2022-01-12,0:34:00,57-28 Van Doren St,11368,Queens,40.739612,-73.851973
2022-01-13,21:50:00,156 30 STREET,11232,Brooklyn,40.657873,-74.001519
2022-01-14,9:24:00,696 10 AVENUE,10019,Manhattan,40.763773,-73.992234
2022-01-17,6:29:00,685 Hart St,11221,Brooklyn,40.699079,-73.925724
2022-01-19,23:41:00,105-21 53rd Ave,11368,Queens,40.742447,-73.855413
2022-01-20,13:29:00,318 W 39th St,10018,Manhattan,40.755735,-73.992384
2022-01-20,16:48:00,4130 CARPENTER AVENUE,10466,Bronx,40.892507,-73.861121
2022-01-20,19:17:00,2899 Kingsbridge Terrace,10463,Bronx,40.874881,-73.902575
2022-01-21,1:36:00,2776 Parkview Terrace,10468,Bronx,40.869744,-73.895063
2022-01-22,6:14:00,7101 BAY PARKWAY,11204,Brooklyn,40.609868,-73.985315
2022-01-24,9:36:00,440 Bronx Park Ave,10460,Bronx,40.840951,-73.874802
2022-01-24,15:35:00,3990 Paulding Ave,10466,Bronx,40.885563,-73.851363
2022-01-26,2:32:00,2 CAMPUS PLACE,11208,Brooklyn,40.684176,-73.872199
2022-01-26,17:57:00,69 Utica Ave,11213,Brooklyn,40.676706,-73.930228
2022-01-29,15:25:00,237 E 20th St,10003,Manhattan,40.736302,-73.982686
2022-02-03,6:01:00,55 Richman Plaza,10453,Bronx,40.851742,-73.922583
2022-02-03,9:32:00,103-08 42 AVENUE,11368,Queens,40.747844,-73.862026
2022-02-03,13:55:00,557 BEACH43 STREET,11691,Queens,40.600193,-73.775458
2022-02-18,5:43:00,805 E 182nd St,10460,Bronx,40.848798,-73.883873
2022-02-20,3:52:00,853 FLATBUSH AVENUE,11226,Brooklyn,40.651493,-73.958822
2022-02-23,2:04:00,400 Brook Ave,10454,Bronx,40.811148,-73.916874
2022-02-25,5:19:00,104-32 Corona Ave.,11368,Queens,40.743817,-73.857591
2022-02-25,13:38:00,461 Dean St,11217,Brooklyn,40.681884,-73.975487
2022-03-01,22:53:00,1808 3rd Ave,10029,Manhattan,40.788111,-73.947419
2022-03-02,0:52:00,1069 1st Ave.,10022,Manhattan,40.759278,-73.96244
2022-03-03,11:04:00,2402 ATLANTIC AVENUE,11233,Brooklyn,40.675855,-73.905248
2022-03-04,4:00:00,30-27 GREENPOINT AVENUE,11101,Queens,40.73728,-73.943054
2022-03-07,20:45:00,55-28 138 STREET,11355,Queens,40.74883,-73.827052
2022-03-08,13:18:00,1682 Seward Ave,10473,Bronx,40.817695,-73.868593
2022-03-10,15:10:00,2648 E 12th St,11235,Brooklyn,40.586362,-73.958091
2022-03-12,21:17:00,575 Ocean Ave,11226,Brooklyn,40.648677,-73.960433
2022-03-13,0:30:00,37-54 81st St,11372,Queens,40.748069,-73.885108
2022-03-13,4:54:00,1842 Flatbush Ave,11210,Brooklyn,40.624739,-73.939364
2022-03-14,9:43:00,83 Circle Loop,10304,Staten Island,40.613675,-74.080258
2022-03-15,13:38:00,491 E 162nd St,10451,Bronx,40.8236,-73.909335
2022-03-17,6:05:00,40-10 MAIN STREET,11354,Queens,40.75926,-73.83019
2022-03-18,2:24:00,407 37 STREET,11232,Brooklyn,40.653683,-74.004683
2022-03-18,5:53:00,34-11 31st St,11106,Queens,40.759219,-73.927355
2022-03-20,23:42:00,1170 229 DRIVE SOUTH,10466,Bronx,40.88529,-73.844663
2022-03-23,14:40:00,559 WEST  156 STREET,10032,Manhattan,40.833355,-73.944899
2022-03-25,17:12:00,46 ELDRIDGE STREET,10002,Manhattan,40.715901,-73.993008
2022-03-28,20:43:00,854 SOUTHERN BOULEVARD,10459,Bronx,40.817544,-73.894499
2022-04-01,6:20:00,2051 WEBSTER AVENUE,10457,Bronx,40.851389,-73.898918
2022-04-03,19:30:00,80-22 88th Rd,11421,Queens,40.689385,-73.860617
2022-04-07,18:29:00,191-37 115 AVENUE,11412,Queens,40.696408,-73.760424
2022-04-09,16:55:00,144 8th Ave,10011,Manhattan,40.741698,-74.000881
2022-04-09,21:45:00,1952 1st Ave.,10029,Manhattan,40.78626,-73.94229
2022-04-13,8:00:00,887 Bryant Ave,10474,Bronx,40.819696,-73.887018
2022-04-13,23:56:00,2733 BARKER AVENUE,10467,Bronx,40.865787,-73.869284
2022-04-16,11:55:00,1260 WEBSTER AVENUE,10456,Bronx,40.83296,-73.908519
2022-04-20,7:06:00,213 WEST23 STREET,10011,Manhattan,40.744482,-73.996139
