Year,Date,Time,Address,Borough,zip,Latitude,Longitude
2021,2021-09-01,11:00:00,"135-17 COOLIDGE AVENUE,QUEENS,NY 11435",Queens,11435,40.715436,-73.822564
2021,2021-09-02,10:54:00,"40-23 60 STREET,QUEENS,NY 11377",Queens,11377,40.744358,-73.904291
2021,2021-09-03,18:08:00,Hylan Blvd and Cornelia Ave Staten Island,Staten Island,10312,40.522572,-74.190004
2021,2021-09-03,19:58:00,"55-15 98th St, Flushing, NY 11368",Queens,11368,40.738721,-73.862409
2021,2021-09-04,5:55:00,"70-06 31st Ave, Flushing, NY 11370",Queens,11370,40.757917,-73.896817
2021,2021-09-05,22:08:00,"48-20 VERNON BOULEVARD,QUEENS,NY 11101",Queens,11101,40.743554,-73.953979
2021,2021-09-06,10:08:00,"45 WESTCHESTER SQUARE,BRONX,NY 10461",Bronx,10461,40.842208,-73.843816
2021,2021-09-07,3:24:00,East 185 and Southern Boulevard Bronx,Bronx,10460,40.852564,-73.883281
2021,2021-09-10,20:31:00,"946 SOUTHERN BOULEVARD,BRONX,NY 10459",Bronx,10459,40.821681,-73.891478
2021,2021-09-14,0:08:00,"3150 BROADWAY,MANHATTAN,NY 10027",Manhattan,10027,40.813902,-73.95885
2021,2021-09-16,11:25:00,"756 EAST  175 STREET,BRONX,NY 10457",Bronx,10457,40.841793,-73.891871
2021,2021-09-22,21:31:00,"1141 FDR DRIVE WEST,MANHATTAN,NY 10009",Manhattan,10009,40.724064,-73.973448
2021,2021-09-23,0:03:00,"3075 HEATH AVENUE,BRONX,NY 10463",Bronx,10463,40.877843,-73.901648
2021,2021-09-25,21:08:00,"70-35 66 STREET,QUEENS,NY 11385",Queens,11385,40.703224,-73.888968
2021,2021-09-27,9:06:00,"42-29 164th St, Flushing, NY 11358",Queens,11358,40.759051,-73.802097
2021,2021-09-29,10:27:00,"888 PARK AVENUE,BROOKLYN,NY 11206",Brooklyn,11206,40.698466,-73.93948
2021,2021-10-04,23:32:00,"94-10 209 STREET,QUEENS,NY 11428",Queens,11428,40.71546,-73.752153
2021,2021-10-09,21:11:00,"494 GEORGIA AVENUE,BROOKLYN,NY 11207",Brooklyn,11207,40.664228,-73.895979
2021,2021-10-12,2:44:00,"758 HART STREET,BROOKLYN,NY 11237",Brooklyn,11237,40.700375,-73.923915
2021,2021-10-12,3:50:00,"43-42 37th St, Long Island City, NY 11101",Queens,11101,40.744714,-73.928001
2021,2021-10-12,22:09:00,"215 EAST  164 STREET,BRONX,NY 10456",Bronx,10456,40.829339,-73.918796
2021,2021-10-15,7:00:00,"967 Kelly St, Bronx, NY 10459",Bronx,10459,40.821809,-73.896106
2021,2021-10-19,22:21:00,"428 5 AVENUE,BROOKLYN,NY 11215",Brooklyn,11215,40.669712,-73.986043
2021,2021-10-21,8:47:00,156 st and 33 ave Queens,Queens,11354,40.768403,-73.808546
2021,2021-10-28,18:58:00,"128 MILLER AVENUE,BROOKLYN,NY 11207",Brooklyn,11207,40.67826,-73.892832
2021,2021-10-31,20:02:00,"1168 STRATFORD AVENUE,BRONX,NY 10472",Bronx,10472,40.828777,-73.875272
2021,2021-11-06,12:32:00,63rd avenue and 108 st Queens,Queens,11375,40.734984,-73.850656
2021,2021-11-07,7:30:00,"340 WILLIS AVENUE,BRONX,NY 10454",Bronx,10454,40.811227,-73.921115
2021,2021-11-11,9:30:00,"869 45 STREET,BROOKLYN,NY 11220",Brooklyn,11220,40.642921,-73.998944
2021,2021-11-12,6:00:00,63 Ave and 108 St Queens,Queens,11375,40.734984,-73.850656
2021,2021-11-19,23:21:00,"2448 MATTHEWS AVENUE,BRONX,NY 10467",Bronx,10467,40.86268,-73.862491
2021,2021-11-20,8:29:00,"57 EAST  128 STREET,MANHATTAN,NY 10035",Manhattan,10035,40.807422,-73.938256
2021,2021-11-23,4:17:00,"49-22 30 AVENUE,QUEENS,NY 11377",Queens,11377,40.760096,-73.907198
2021,2021-11-23,14:58:00,"3003 WEST21 STREET,BROOKLYN,NY 11224",Brooklyn,11224,40.574402,-73.987473
2021,2021-11-24,11:47:00,"1322 BEDFORD AVENUE,BROOKLYN,NY 11216",Brooklyn,11216,40.678218,-73.953025
2021,2021-11-25,10:49:00,"1196 GRAVESEND NECK ROAD,BROOKLYN,NY 11229",Brooklyn,11229,40.594121,-73.958382
2021,2021-11-29,20:42:00,"303 WEST46 STREET,MANHATTAN,NY 10036",Manhattan,10036,40.760057,-73.988179
